"crime","date","neighborhood"
"BURGLARY-NONRES","10/02/2015","Lenox"
"ROBBERY-PEDESTRIAN","03/27/2014","Campbellton Road"
"LARCENY-FROM VEHICLE","10/24/2012",""
"LARCENY-FROM VEHICLE","04/12/2016","North Buckhead"
"AUTO THEFT","10/26/2009","Harland Terrace"
"ROBBERY-PEDESTRIAN","10/20/2016",""
"BURGLARY-RESIDENCE","06/27/2012","Edgewood"
"BURGLARY-RESIDENCE","03/19/2011","Southwest"
"ROBBERY-PEDESTRIAN","02/14/2011","English Avenue"
"LARCENY-FROM VEHICLE","07/09/2011",""
"LARCENY-FROM VEHICLE","01/27/2011","West Lake"
"LARCENY-FROM VEHICLE","08/04/2012","Lenox"
"AUTO THEFT","10/10/2014","Collier Heights"
"LARCENY-FROM VEHICLE","09/25/2016","Old Fourth Ward"
"LARCENY-NON VEHICLE","10/30/2009","Glenrose Heights"
"LARCENY-FROM VEHICLE","06/22/2011","Mechanicsville"
"LARCENY-FROM VEHICLE","04/27/2009","Lake Claire"
"ROBBERY-PEDESTRIAN","06/08/2016","Downtown"
"LARCENY-FROM VEHICLE","04/17/2015","West End"
"LARCENY-NON VEHICLE","11/21/2011","Inman Park"
"ROBBERY-PEDESTRIAN","08/23/2015","Penelope Neighbors"
"AGG ASSAULT","11/07/2009",""
"LARCENY-NON VEHICLE","04/17/2010","West End"
"ROBBERY-PEDESTRIAN","10/05/2015","Center Hill"
"BURGLARY-RESIDENCE","06/09/2011","Capitol View Manor"
"LARCENY-NON VEHICLE","06/23/2009","Harris Chiles"
"LARCENY-NON VEHICLE","08/15/2016","Edgewood"
"AGG ASSAULT","04/05/2016","Summerhill"
"BURGLARY-RESIDENCE","12/02/2014","Glenrose Heights"
"AUTO THEFT","01/04/2015","Hammond Park"
"LARCENY-NON VEHICLE","10/03/2013","Midtown"
"AGG ASSAULT","12/29/2011","Pittsburgh"
"BURGLARY-RESIDENCE","07/07/2009","East Atlanta"
"LARCENY-FROM VEHICLE","06/08/2014","Virginia Highland"
"LARCENY-NON VEHICLE","01/30/2012","Lakewood Heights"
"BURGLARY-RESIDENCE","01/19/2010","Lindridge/Martin Manor"
"LARCENY-FROM VEHICLE","11/30/2012","Downtown"
"LARCENY-FROM VEHICLE","08/19/2009","Grant Park"
"LARCENY-FROM VEHICLE","04/06/2016","Woodland Hills"
"ROBBERY-PEDESTRIAN","09/07/2015","Benteen Park"
"AUTO THEFT","01/29/2013","Morningside/Lenox Park"
"LARCENY-NON VEHICLE","11/19/2010","Ashley Courts"
"ROBBERY-PEDESTRIAN","01/18/2009","West Highlands"
"LARCENY-FROM VEHICLE","01/08/2017","Mechanicsville"
"LARCENY-NON VEHICLE","07/09/2010","The Villages at Carver"
"BURGLARY-RESIDENCE","12/01/2015","Lindbergh/Morosgo"
"LARCENY-FROM VEHICLE","06/16/2010","Peoplestown"
"LARCENY-FROM VEHICLE","09/25/2016",""
"LARCENY-NON VEHICLE","12/18/2015","Lindbergh/Morosgo"
"AUTO THEFT","01/23/2010","The Villages at Carver"
"AUTO THEFT","05/11/2012","Southwest"
"LARCENY-FROM VEHICLE","12/20/2016","Downtown"
"LARCENY-NON VEHICLE","12/06/2012","Berkeley Park"
"BURGLARY-NONRES","09/28/2012","Reynoldstown"
"AGG ASSAULT","06/19/2015","Pittsburgh"
"AUTO THEFT","07/08/2016","Lakewood Heights"
"LARCENY-FROM VEHICLE","03/23/2012","Midtown"
"LARCENY-FROM VEHICLE","10/21/2009","Downtown"
"LARCENY-FROM VEHICLE","05/31/2011","Midtown"
"AUTO THEFT","10/05/2012","Mechanicsville"
"BURGLARY-RESIDENCE","07/11/2013","Mt. Paran/Northside"
"LARCENY-FROM VEHICLE","09/19/2016","Old Fourth Ward"
"LARCENY-NON VEHICLE","11/16/2011","Peachtree Park"
"HOMICIDE","05/08/2011","Downtown"
"AGG ASSAULT","03/16/2016","Pittsburgh"
"BURGLARY-RESIDENCE","09/22/2012","Old Fourth Ward"
"AGG ASSAULT","05/22/2010","Vine City"
"ROBBERY-PEDESTRIAN","03/15/2014","Downtown"
"LARCENY-FROM VEHICLE","03/19/2014","Center Hill"
"LARCENY-NON VEHICLE","02/05/2010","Hammond Park"
"LARCENY-NON VEHICLE","06/01/2012","Garden Hills"
"LARCENY-FROM VEHICLE","07/10/2013","Westhaven"
"LARCENY-NON VEHICLE","10/09/2012","Lindbergh/Morosgo"
