"crime","date","neighborhood"
"LARCENY-NON VEHICLE","01/22/2010","Old Fourth Ward"
"LARCENY-FROM VEHICLE","08/08/2011","Buckhead Heights"
"LARCENY-NON VEHICLE","11/20/2012","Greenbriar"
"LARCENY-NON VEHICLE","04/06/2016","Midtown"
"BURGLARY-RESIDENCE","01/24/2017","Polar Rock"
"LARCENY-FROM VEHICLE","05/07/2015","Buckhead Forest"
"LARCENY-FROM VEHICLE","07/01/2013","Oakland"
"LARCENY-NON VEHICLE","11/25/2016","Harland Terrace"
"BURGLARY-RESIDENCE","11/15/2012","Westview"
"ROBBERY-RESIDENCE","03/31/2011","Glenrose Heights"
"LARCENY-NON VEHICLE","08/31/2016","Edgewood"
"AUTO THEFT","02/08/2016","Perkerson"
"AUTO THEFT","02/18/2015","Bush Mountain"
"LARCENY-FROM VEHICLE","12/21/2010","Lindbergh/Morosgo"
"AUTO THEFT","10/02/2016","Blandtown"
"LARCENY-FROM VEHICLE","05/27/2011","Mozley Park"
"AUTO THEFT","07/11/2010","Peachtree Hills"
"LARCENY-FROM VEHICLE","06/14/2015","Harris Chiles"
"LARCENY-FROM VEHICLE","11/22/2012","Virginia Highland"
"LARCENY-FROM VEHICLE","12/14/2011","Buckhead Village"
"LARCENY-NON VEHICLE","09/09/2013","Pittsburgh"
"AUTO THEFT","07/22/2011","Edgewood"
"ROBBERY-PEDESTRIAN","04/28/2014","Home Park"
"LARCENY-FROM VEHICLE","05/27/2009","English Avenue"
"LARCENY-FROM VEHICLE","11/01/2013","Sweet Auburn"
"AUTO THEFT","07/30/2009","Old Fourth Ward"
"AUTO THEFT","05/25/2011","Sylvan Hills"
"LARCENY-NON VEHICLE","05/12/2013","Midtown"
"LARCENY-FROM VEHICLE","09/18/2016","Atlanta University Center"
"AUTO THEFT","06/24/2013","Sylvan Hills"
"AUTO THEFT","03/15/2015","Westview"
"AGG ASSAULT","02/04/2012","Sylvan Hills"
"AUTO THEFT","10/12/2015","Collier Heights"
"LARCENY-FROM VEHICLE","11/27/2013","Midtown"
"LARCENY-FROM VEHICLE","09/07/2013","Grant Park"
"ROBBERY-RESIDENCE","07/27/2009",""
"LARCENY-NON VEHICLE","08/21/2010","West End"
"LARCENY-FROM VEHICLE","07/30/2012","Washington Park"
"LARCENY-FROM VEHICLE","07/25/2010","Midtown"
"LARCENY-FROM VEHICLE","01/04/2010","Downtown"
